species,english_name
Rumex acetosa subsp. acetosa,Common sorrel
Parmelia saxatilis,Salted shield lichen
Amblyptilia acanthadactyla,Plume moth
Syritta pipiens,Hover fly
Parmelia sulcata,Hammered shield lichen
Ramalina siliquosa,Sea ivory
Mnemiopsis leidyi,Sea walnut
Ampullaceana balthica,Wandering pond snail
Ailanthus altissima,Tree-of-heaven
Syrphus ribesii,Common flower fly
Eudonia mercurella,Small grey
Merodon equestris,Greater bulb-fly
Pagurus bernhardus,Common hermit crab
Omocestus viridulus,Common green grasshopper
Xanthoria parietina,Common sunburst lichen
Episyrphus balteatus,Marmalade hoverfly
Depressaria badiella,Brown flat-body
Bombus terrstris,Buff tailed bumblebee
Trochulus hispidus,Bristly snail
Motacilla alba yarrellii,Pied wagtail
Udea prunalis,Dusky pearl
Acer negundo ,Box elder
Marchantia polymorpha,Liverwort
Lasius niger,Small black ant
Aphomia sociella,Bee moth
Anthophila fabriciana,Nettle tap
Meliscaeva cinctella,American thintail fly
Cyanea lamarckii,Blue jellyfish
Motacilla alba alba,White wagtail (white-faced)
Cancer pagurus,Edible crab
Ligularia dentata ,Leopardplant
Epiblema sticticana,"Colt's-foot bell, colt's-foot root-borer"
Esperia sulphurella,Moth
Vicia sativa subsp. segetalis,Narrow-leaf vetch
Dichrorampha petiverella,Common drill moth
Lobaria pulmonaria,Tree lungwort
Lunularia cruciata,Crescent-cup liverwort
Endrosis sarcitrella,White-shouldered house moth
Centaurea nigra subsp. nigra,Common knapweed
Yponomeuta evonymella,Bird-cherry ermine moth
Anania hortulata,Small magpie
Endrosis sarcitrella,White-shouldered house moth
Epiblema sticticana,"Colt's-foot bell, colt's-foot root-borer"
Agapeta hamana,Common yellow conch
Amblyptilia acanthadactyla,Plume moth
Eudonia mercurella,Small grey
Meliscaeva cinctella,American thintail fly
Syritta pipiens,Hover fly
Syrphus torvus,Hairy-eyed flower fly
Aphomia sociella,Bee moth
Acanthopsyche atra,Dusky sweep
Episyrphus balteatus,Marmalade hoverfly
Esperia sulphurella,Moth
Anthophila fabriciana,Nettle tap
Eristalis nemorum,Orange-spined drone fly
Anania hortulata,Small magpie
Dichrorampha petiverella,Common drill moth
Udea prunalis,Dusky pearl
Depressaria badiella,Brown flat-body
Merodon equestris,Greater bulb-fly
Yponomeuta evonymella,Bird-cherry ermine moth
Syrphus ribesii,Common flower fly
